City Name,Country,Region,CBD Location,,Land Cover Dates,,,Share of Built-up Area Occupied by Roads,,Average Road Width (meters),,Share of Roads Less Than 4 Meters Wide,,Share of Roads More Than 16 Meters Wide,,Density of All Arterial Roads (km/km2),,Average Beeline Distance to All Arterial Roads (meters),,Share of Area within Walking Distance of All Arterial Roads,,Share of Area within Walking Distance of Wide Arterial Roads ,,Average Block Size (ha),,3-Way Intersection Density (number per km2),,4-Way Intersection Density (number per km2 ),,Share of Intersections that are 4-Way ,,Walkability Ratio,,Share of Built-up Area That Is Residential,,Share of Residential Areas Laid Out Before Development,,Share of Residential Areas Not Laid Out Before Development,,Share of Built-up Area That Is Gridded,,Share of Residential Area in Informal Land Subdivisions,,Share of Residential Area in Formal Land Subdivisions,,Share of Residential Area in Housing Projects,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,
Halle,Germany,Europe and Japan,51.487,11.970,8/1/90,9/1/99,7/1/10,18%,15%, 6.4 , 5.0 ,37%,40%,6%,0%, 2.17 , 1.87 , 155 , 187 ,98%,96%,90%,76%,2.5,4.3,214.1,154.7,26.8,11.0,9%,3%, 1.7 , 1.6 ,57%,69%,96%,77%,4%,23%,0%,0%,1%,13%,67%,62%,28%,1%,, 325 , 405 , 674 
"Hangzhou, Zhejiang",China,East Asia and the Pacific,30.305,120.168,10/1/90,5/1/00,4/1/13,32%,27%, 9.9 , 8.1 ,25%,38%,16%,13%, 2.97 , 0.74 , 129 ," 1,556 ",99%,66%,99%,63%,2.4,3.6,258.8,153.9,42.2,23.9,13%,13%, 1.7 , 1.7 ,46%,56%,76%,78%,24%,22%,3%,3%,1%,38%,23%,18%,52%,22%,,, 162 , 592 
Hindupur,India,South and Central Asia,13.838,77.488,2/1/89,3/1/00,3/1/14,18%,20%, 6.5 , 5.1 ,26%,39%,3%,2%, 2.35 , 1.28 , 115 , 219 ,100%,95%,92%,95%,1.7,2.5,193.2,279.2,24.8,56.0,13%,16%, 1.5 , 1.7 ,77%,75%,99%,75%,1%,25%,0%,0%,99%,74%,0%,0%,0%,1%, 155 , 141 ,,
Ho Chi Minh City,Vietnam,Southeast Asia,10.830,106.713,1/1/89,12/1/99,1/1/15,18%,15%, 9.0 , 7.2 ,23%,34%,13%,7%, 2.57 , 1.17 , 146 , 362 ,97%,82%,95%,64%,3.0,5.3,117.6,87.5,22.4,6.8,14%,6%, 1.7 , 1.8 ,67%,68%,50%,43%,50%,57%,8%,3%,0%,23%,50%,20%,0%,1%,,,, 193 
Holguin,Cuba,Latin America and the Caribbean,20.883,-76.263,7/1/87,5/1/01,1/1/14,16%,21%, 6.2 , 7.0 ,18%,19%,3%,9%, 1.65 , 1.50 , 235 , 250 ,92%,92%,69%,67%,4.2,8.5,96.3,116.6,32.4,13.6,21%,7%, 1.5 , 1.8 ,73%,69%,68%,44%,32%,56%,13%,0%,44%,42%,15%,0%,9%,2%, 134 ,, 241 ,
"Hong Kong, Hong Kong",China,East Asia and the Pacific,22.346,114.183,11/1/89,1/1/00,10/1/13,25%,20%, 11.3 , 9.4 ,14%,25%,23%,16%, 3.88 , 3.22 , 105 , 132 ,99%,97%,98%,94%,4.6,3.7,55.0,26.7,12.3,7.9,11%,18%, 1.9 , 1.7 ,51%,44%,84%,69%,16%,31%,0%,3%,0%,0%,32%,9%,52%,60%,,," 1,098 ",
Houston,United States,Land-Rich Developed Countries,29.780,-95.386,11/1/90,9/1/00,5/1/14,21%,20%, 10.6 , 10.0 ,11%,12%,20%,14%, 1.99 , 0.83 , 181 , 396 ,97%,80%,95%,73%,5.9,6.7,81.1,53.3,12.7,8.9,14%,12%, 1.8 , 1.9 ,65%,83%,96%,87%,4%,13%,5%,0%,0%,0%,86%,73%,10%,14%,,, 800 , 852 
Hyderabad,India,South and Central Asia,17.422,78.484,3/1/90,7/1/99,5/1/14,19%,21%, 6.8 , 6.2 ,19%,23%,4%,3%, 1.92 , 1.31 , 184 , 279 ,98%,90%,77%,63%,2.2,3.0,188.7,204.2,25.0,43.3,10%,15%, 1.7 , 1.5 ,68%,66%,90%,86%,10%,14%,3%,0%,3%,65%,83%,20%,3%,2%, 95 , 159 , 213 , 190 
Ibadan,Nigeria,Sub-Saharan Africa,7.388,3.896,12/1/84,2/1/00,12/1/13,12%,12%, 6.0 , 3.2 ,22%,69%,2%,0%, 1.04 , 0.71 , 353 , 596 ,82%,65%,49%,34%,5.7,4.2,69.8,196.2,5.3,14.0,4%,8%, 1.8 , 1.7 ,71%,76%,64%,25%,36%,75%,5%,0%,56%,25%,6%,0%,2%,0%,,, 677 ,
Ilheus,Brazil,Latin America and the Caribbean,-14.803,-39.045,7/1/93,5/1/01,12/1/13,23%,21%, 9.0 , 8.7 ,13%,7%,10%,5%, 2.34 , 1.71 , 156 , 264 ,98%,88%,95%,78%,3.3,3.3,107.4,78.6,17.0,17.5,13%,14%, 1.6 , 1.7 ,75%,79%,97%,94%,4%,6%,0%,10%,28%,51%,67%,42%,1%,1%,, 500 ,, 253 
Ipoh,Malaysia,Southeast Asia,4.590,101.077,12/1/90,3/1/03,2/1/15,32%,30%, 10.8 , 8.6 ,5%,9%,15%,6%, 1.05 , 0.81 , 387 , 479 ,79%,71%,68%,58%,2.7,3.2,150.5,146.4,15.6,8.1,8%,3%, 2.0 , 1.6 ,70%,82%,100%,90%,0%,10%,3%,3%,5%,5%,68%,29%,27%,56%,,, 358 , 336 
Istanbul,Turkey,Western Asia and North Africa,40.981,29.065,11/1/90,6/1/02,7/1/13,27%,28%, 9.2 , 7.8 ,9%,14%,10%,6%, 3.30 , 2.25 , 115 , 202 ,99%,94%,93%,82%,2.0,4.3,143.4,160.4,30.5,14.8,17%,7%, 1.7 , 2.0 ,74%,68%,53%,76%,42%,24%,10%,5%,0%,13%,51%,35%,7%,28%,,, 355 , 318 
Jaipur,India,South and Central Asia,26.911,75.787,10/1/89,10/1/00,9/1/14,22%,27%, 8.0 , 7.4 ,19%,18%,10%,8%, 1.95 , 1.38 , 185 , 272 ,96%,90%,94%,88%,2.4,2.2,197.1,242.1,18.7,17.2,11%,7%, 1.7 , 1.7 ,70%,76%,87%,85%,13%,15%,0%,0%,40%,68%,42%,11%,5%,6%, 246 , 195 , 233 , 212 
Jalna,India,South and Central Asia,19.851,75.878,10/1/89,10/1/00,10/1/14,19%,18%, 6.3 , 7.2 ,21%,29%,1%,6%, 1.65 , 1.50 , 190 , 241 ,96%,93%,63%,66%,3.0,5.3,161.7,178.5,15.4,28.2,9%,11%, 1.6 , 1.6 ,55%,55%,50%,70%,50%,30%,0%,0%,32%,62%,17%,7%,1%,0%, 145 ,, 141 ,
Jequie,Brazil,Latin America and the Caribbean,-13.862,-40.085,8/1/92,4/1/01,4/1/14,24%,26%, 7.6 , 5.6 ,21%,29%,4%,1%, 1.20 , 1.02 , 332 , 383 ,83%,79%,68%,65%,2.3,3.1,180.8,254.5,38.3,46.8,19%,18%, 1.9 , 1.6 ,69%,70%,100%,85%,0%,15%,10%,11%,59%,58%,36%,16%,4%,11%, 202 , 173 , 132 , 274 
"Jinan, Shandong",China,East Asia and the Pacific,36.682,117.020,9/1/91,9/1/00,7/1/13,25%,22%, 9.5 , 9.5 ,35%,42%,15%,17%, 1.45 , 1.15 , 332 , 500 ,86%,76%,86%,76%,3.7,7.2,157.9,110.5,13.5,14.5,5%,14%, 2.0 , 1.6 ,38%,48%,93%,87%,7%,13%,0%,0%,22%,29%,45%,13%,26%,45%,,,,
Jinju,Korea Rep.,East Asia and the Pacific,35.187,128.107,4/1/88,4/1/00,5/1/14,24%,17%, 7.5 , 4.8 ,31%,54%,10%,2%, 2.35 , 1.27 , 172 , 404 ,97%,80%,94%,51%,2.4,5.5,159.5,108.5,40.8,20.6,20%,15%, 1.4 , 1.6 ,58%,31%,80%,23%,20%,77%,18%,0%,0%,0%,56%,4%,25%,19%,,,,
Johannesburg,South Africa,Sub-Saharan Africa,6.842,3.634,3/1/90,7/1/98,6/1/13,25%,18%, 13.2 , 7.4 ,6%,22%,32%,7%, 1.51 , 0.52 , 238 , 835 ,93%,49%,93%,46%,7.6,5.3,47.7,109.0,18.4,14.2,23%,10%, 1.6 , 2.2 ,85%,83%,93%,86%,1%,14%,25%,3%,4%,46%,87%,38%,8%,2%, 230 , 290 , 965 , 509 
Kabul,Afghanistan,South and Central Asia,34.529,69.172,11/1/87,8/1/00,9/1/14,17%,20%, 8.2 , 6.3 ,35%,30%,10%,3%, 1.60 , 1.25 , 301 , 346 ,85%,82%,68%,63%,3.1,2.5,108.1,171.9,11.5,17.8,11%,10%, 1.7 , 1.9 ,74%,75%,68%,83%,32%,17%,8%,5%,53%,83%,12%,0%,4%,0%, 548 , 339 , 366 ,
"Kaiping, Guangdong",China,East Asia and the Pacific,22.380,112.688,4/1/90,9/1/00,11/1/14,18%,24%, 5.1 , 8.4 ,52%,33%,6%,13%, 1.97 , 1.35 , 161 , 235 ,100%,92%,100%,89%,1.0,2.5,311.1,266.8,84.3,49.5,16%,8%, 1.5 , 1.6 ,83%,48%,93%,90%,7%,10%,0%,0%,31%,57%,50%,11%,12%,23%,,,,
Kairouan,Tunisia,Western Asia and North Africa,35.673,10.096,5/1/92,5/1/00,6/1/10,26%,25%, 7.7 , 5.8 ,14%,35%,8%,3%, 2.25 , 1.95 , 156 , 196 ,99%,96%,99%,96%,1.7,2.9,305.1,348.1,43.9,52.3,11%,9%, 1.5 , 1.7 ,79%,62%,94%,83%,6%,17%,0%,0%,21%,36%,69%,47%,3%,0%,,, 422 , 168 
Kampala,Uganda,Sub-Saharan Africa,0.315,32.585,3/1/88,2/1/03,2/1/15,13%,12%, 6.7 , 4.5 ,20%,42%,4%,1%, 2.05 , 1.10 , 157 , 346 ,98%,84%,58%,37%,6.0,7.5,74.0,105.1,6.0,5.3,6%,4%, 1.8 , 1.6 ,72%,69%,51%,33%,49%,67%,0%,0%,47%,32%,2%,0%,2%,0%,,,,
Kanpur,India,South and Central Asia,26.457,80.310,12/1/91,2/1/99,9/1/14,20%,23%, 6.8 , 5.7 ,24%,38%,5%,4%, 1.81 , 1.47 , 187 , 261 ,97%,91%,94%,84%,3.3,3.4,206.3,289.2,22.4,33.5,9%,9%, 1.6 , 1.6 ,73%,74%,81%,52%,19%,48%,0%,3%,49%,46%,22%,4%,10%,2%, 158 ,, 262 , 169 
Karachi,Pakistan,South and Central Asia,24.900,67.075,2/1/91,10/1/00,10/1/13,22%,23%, 8.3 , 7.4 ,30%,30%,12%,9%, 3.11 , 2.59 , 130 , 158 ,99%,98%,94%,89%,3.2,2.4,220.3,226.1,50.2,74.0,13%,21%, 1.7 , 1.7 ,71%,71%,75%,72%,25%,28%,5%,13%,26%,61%,46%,7%,3%,5%, 83 ,, 464 , 343 
Kaunas,Lithuania,Europe and Japan,54.903,23.925,8/1/90,9/1/00,3/1/14,17%,12%, 7.9 , 5.4 ,26%,31%,10%,1%, 1.28 , 1.21 , 275 , 281 ,90%,90%,81%,78%,4.9,5.5,90.3,79.6,17.0,7.2,14%,9%, 2.0 , 1.5 ,61%,73%,75%,75%,25%,25%,0%,0%,18%,27%,41%,39%,16%,9%," 1,567 ", 990 , 741 , 784 
Kayseri,Turkey,Western Asia and North Africa,38.724,35.480,10/1/87,6/1/00,8/1/13,31%,27%, 9.4 , 9.1 ,17%,28%,13%,17%, 2.93 , 1.81 , 125 , 218 ,99%,93%,99%,89%,1.7,3.3,205.0,201.5,26.4,37.2,14%,13%, 1.6 , 1.6 ,49%,68%,90%,77%,10%,23%,5%,0%,10%,19%,77%,28%,3%,31%,,, 561 , 275 
Khartoum,Sudan,Western Asia and North Africa,15.552,32.532,12/1/88,4/1/00,3/1/14,24%,23%, 9.3 , 7.3 ,5%,21%,9%,6%, 1.76 , 1.18 , 281 , 516 ,89%,74%,88%,72%,1.4,1.7,167.8,225.6,50.8,60.3,21%,18%, 1.5 , 1.5 ,75%,87%,97%,94%,3%,6%,,8%,88%,94%,5%,0%,4%,0%, 534 , 345 ,,
Kigali,Rwanda,Sub-Saharan Africa,9.927,8.880,2/1/87,7/1/99,10/1/14,17%,14%, 7.9 , 5.5 ,18%,32%,7%,1%, 2.22 , 1.17 , 179 , 318 ,95%,86%,72%,58%,5.7,4.6,64.9,99.4,7.1,4.7,6%,3%, 2.3 , 1.7 ,58%,79%,56%,31%,44%,69%,0%,0%,34%,30%,22%,0%,0%,1%,, 444 ,,
Killeen,United States,Land-Rich Developed Countries,31.112,-97.732,8/1/90,5/1/00,8/1/13,24%,23%, 10.6 , 18.8 ,12%,13%,24%,31%, 1.11 , 0.95 , 470 , 472 ,76%,75%,75%,73%,2.9,5.4,109.0,51.7,19.8,6.9,19%,9%, 1.8 , 1.7 ,74%,93%,100%,91%,0%,9%,0%,3%,0%,0%,68%,85%,32%,6%,,, 742 , 770 
Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,-4.374,15.320,8/1/94,9/1/00,7/1/13,14%,13%, 9.5 , 5.2 ,28%,37%,4%,3%, 1.26 , 0.84 , 327 , 709 ,84%,65%,41%,35%,2.1,2.7,122.6,115.7,36.1,25.4,22%,12%, 1.7 , 1.7 ,85%,85%,81%,63%,19%,37%,10%,5%,73%,59%,9%,2%,0%,3%, 444 , 124 ,,
Kolkata,India,South and Central Asia,22.533,88.356,11/1/90,11/1/03,4/1/14,13%,10%, 5.8 , 4.0 ,38%,60%,5%,2%, 1.63 , 1.11 , 245 , 335 ,92%,84%,62%,54%,5.2,4.8,85.5,107.8,9.5,5.7,8%,4%, 1.6 , 1.6 ,76%,84%,15%,27%,84%,73%,1%,3%,7%,16%,7%,3%,3%,8%,, 217 , 271 ,
Kozhikode,India,South and Central Asia,11.254,75.803,2/1/91,3/1/01,2/1/14,15%,8%, 6.3 , 4.8 ,26%,44%,3%,3%, 2.16 , 0.74 , 189 , 314 ,98%,88%,100%,67%,1.7,7.5,176.0,110.9,8.6,10.0,4%,5%, 1.4 , 1.6 ,44%,87%,0%,45%,100%,55%,0%,0%,0%,45%,0%,0%,0%,1%,,,,
Lagos,Nigeria,Sub-Saharan Africa,6.210,7.063,12/1/84,2/1/00,12/1/13,17%,16%, 10.1 , 7.1 ,6%,20%,10%,3%, 1.25 , 0.76 , 336 , 543 ,85%,70%,73%,50%,5.8,4.8,61.4,82.8,12.0,4.4,10%,4%, 1.7 , 1.7 ,70%,77%,51%,61%,47%,39%,13%,0%,28%,53%,20%,4%,5%,4%, 28 , 669 , 538 , 679 
Lahore,Pakistan,South and Central Asia,31.514,74.314,11/1/91,10/1/00,10/1/13,20%,24%, 7.3 , 6.4 ,32%,32%,9%,6%, 3.21 , 2.46 , 119 , 167 ,99%,97%,94%,88%,2.3,1.9,207.9,209.2,31.1,23.0,11%,11%, 1.5 , 1.9 ,82%,70%,64%,89%,36%,11%,0%,0%,21%,31%,42%,54%,1%,3%,,, 394 , 440 
Lausanne,Switzerland,Europe and Japan,46.516,6.633,4/1/87,3/1/01,8/1/15,21%,24%, 18.3 , 6.2 ,17%,21%,14%,1%, 3.10 , 2.58 , 95 , 125 ,100%,99%,73%,60%,4.1,6.6,119.6,106.6,13.7,6.7,14%,5%, 1.9 , 1.6 ,65%,77%,92%,73%,8%,27%,0%,0%,0%,0%,78%,68%,14%,5%,,,," 1,231 "
Le Mans,France,Europe and Japan,47.989,0.199,5/1/92,8/1/99,7/1/13,21%,21%, 6.7 , 5.5 ,25%,34%,4%,2%, 2.87 , 2.78 , 117 , 122 ,100%,99%,85%,84%,2.7,6.3,184.4,137.9,22.2,13.9,8%,8%, 2.0 , 1.7 ,62%,55%,86%,56%,14%,44%,0%,0%,0%,0%,72%,54%,14%,2%,,, 647 , 720 
Leon,Nicaragua,Latin America and the Caribbean,12.438,-86.878,7/1/93,4/1/00,1/1/10,18%,19%, 7.8 , 5.5 ,9%,19%,2%,1%, 3.02 , 2.01 , 119 , 188 ,99%,96%,66%,66%,2.7,5.8,78.8,155.3,34.5,57.0,36%,20%, 1.6 , 1.6 ,74%,82%,93%,89%,7%,11%,23%,13%,15%,63%,78%,24%,0%,2%,,, 143 , 355 
"Leshan, Sichuan",China,East Asia and the Pacific,29.591,103.754,7/1/90,7/1/01,8/1/14,27%,18%, 10.8 , 7.6 ,10%,27%,18%,8%, 2.44 , 0.79 , 166 , 747 ,97%,61%,85%,55%,3.3,4.9,98.8,78.2,17.1,6.0,16%,3%, 1.7 , 1.4 ,66%,52%,59%,24%,41%,76%,0%,0%,4%,7%,30%,11%,24%,7%,,,,
London,United Kingdom,Europe and Japan,51.506,-0.139,5/1/89,6/1/00,7/1/13,19%,10%, 9.5 , 7.5 ,9%,18%,9%,4%, 2.21 , 1.39 , 163 , 439 ,98%,78%,75%,37%,8.4,8.2,50.9,60.8,10.0,10.4,13%,4%, 1.7 , 1.7 ,73%,72%,95%,87%,2%,13%,0%,0%,0%,0%,45%,87%,53%,0%,,, 550 , 612 
Los Angeles,United States,Land-Rich Developed Countries,33.971,-117.969,5/1/90,5/1/00,10/1/14,25%,26%, 15.1 , 15.8 ,6%,18%,46%,21%, 2.05 , 0.28 , 187 ," 2,340 ",96%,21%,96%,20%,6.5,6.5,46.8,74.0,19.2,8.2,27%,6%, 1.6 , 2.0 ,86%,87%,92%,80%,3%,20%,29%,0%,0%,3%,90%,62%,7%,15%,,, 752 , 789 
Luanda,Angola,Sub-Saharan Africa,-8.825,13.260,6/1/91,6/1/00,5/1/14,15%,17%, 7.9 , 6.4 ,17%,31%,7%,5%, 1.05 , 0.63 , 412 , 698 ,78%,58%,67%,52%,3.2,2.4,96.1,139.1,17.3,29.3,15%,15%, 1.7 , 1.7 ,70%,75%,42%,47%,58%,53%,10%,0%,33%,37%,9%,3%,0%,7%, 255 , 387 , 291 ,
Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,-11.677,27.480,7/1/90,9/1/98,8/1/13,16%,16%, 9.1 , 5.6 ,9%,33%,10%,2%, 1.64 , 0.99 , 259 , 428 ,90%,74%,65%,46%,5.7,3.3,60.9,170.4,25.6,30.3,30%,18%, 1.6 , 1.6 ,84%,84%,92%,70%,8%,30%,23%,0%,88%,67%,5%,2%,0%,2%, 611 , 839 ," 1,452 ",
Madrid,Spain,Europe and Japan,40.413,-3.707,5/1/91,6/1/02,5/1/10,28%,29%, 13.2 , 11.3 ,12%,22%,25%,28%, 1.80 , 1.36 , 204 , 266 ,96%,90%,94%,80%,3.8,5.5,108.2,80.3,34.0,25.9,19%,21%, 1.6 , 1.8 ,67%,71%,96%,87%,4%,13%,8%,5%,0%,0%,80%,68%,16%,19%,,, 565 , 546 
Malatya,Turkey,Western Asia and North Africa,38.350,38.270,8/1/90,7/1/00,3/1/14,28%,28%, 9.2 , 9.3 ,11%,20%,12%,15%, 1.94 , 1.34 , 228 , 354 ,90%,79%,86%,73%,1.4,5.9,203.8,120.8,35.3,14.2,15%,8%, 1.5 , 1.8 ,73%,80%,97%,72%,3%,28%,3%,0%,10%,12%,77%,31%,10%,29%,,,,
Malegaon,India,South and Central Asia,20.562,74.520,2/1/91,3/1/00,10/1/14,20%,27%, 5.3 , 4.6 ,37%,40%,2%,1%, 1.06 , 0.84 , 343 , 391 ,82%,78%,72%,70%,1.2,1.7,292.2,422.4,52.1,54.9,12%,10%, 1.5 , 1.5 ,65%,68%,64%,51%,36%,49%,0%,0%,38%,48%,25%,1%,1%,2%, 170 , 130 ,,
Manchester,United Kingdom,Europe and Japan,53.470,-2.474,5/1/89,9/1/02,10/1/10,20%,19%, 7.4 , 6.3 ,25%,35%,4%,3%, 1.80 , 1.73 , 187 , 194 ,97%,97%,59%,56%,5.3,11.1,150.0,75.7,21.7,8.3,10%,6%, 2.0 , 1.8 ,64%,59%,98%,79%,2%,21%,0%,0%,0%,0%,98%,79%,0%,0%,,, 489 , 321 
Manila,Philippines,Southeast Asia,14.579,121.028,12/1/90,4/1/00,2/1/14,20%,22%, 9.2 , 5.8 ,11%,23%,11%,1%, 1.92 , 1.51 , 202 , 265 ,95%,90%,72%,61%,3.1,2.7,82.5,189.4,28.5,26.5,20%,10%, 1.6 , 1.8 ,70%,77%,50%,68%,45%,32%,13%,0%,2%,27%,53%,34%,1%,7%,, 94 , 329 , 312 
Marrakesh,Morocco,Western Asia and North Africa,31.636,-8.021,3/1/88,6/1/02,8/1/14,22%,26%, 8.5 , 8.7 ,27%,20%,14%,12%, 2.28 , 1.44 , 176 , 360 ,97%,85%,92%,80%,2.7,4.8,158.8,171.8,21.0,26.9,12%,14%, 1.7 , 1.5 ,63%,76%,80%,77%,20%,23%,3%,0%,3%,13%,62%,33%,15%,31%, 136 ," 1,226 ", 194 , 478 
Medan,Indonesia,Southeast Asia,3.596,98.651,6/1/89,6/1/01,6/1/13,12%,11%, 6.5 , 5.1 ,25%,37%,5%,0%, 1.33 , 0.71 , 284 , 645 ,88%,68%,70%,42%,5.2,7.6,75.8,54.9,10.3,4.1,9%,5%, 1.7 , 1.5 ,70%,76%,90%,30%,10%,70%,0%,0%,38%,25%,51%,5%,1%,0%,,, 483 ,
Mexico City,Mexico,Latin America and the Caribbean,19.446,-99.123,3/1/90,2/1/00,4/1/14,26%,23%, 12.5 , 8.0 ,6%,15%,20%,4%, 2.37 , 0.77 , 162 , 418 ,98%,77%,97%,55%,2.7,3.5,68.3,149.4,37.2,24.8,39%,14%, 1.6 , 1.7 ,66%,64%,91%,74%,5%,26%,54%,8%,4%,27%,90%,42%,2%,5%,, 132 , 211 , 181 
Milan,Italy,Europe and Japan,45.608,9.222,9/1/88,8/1/03,8/1/13,21%,18%, 8.4 , 5.0 ,18%,40%,10%,1%, 1.52 , 1.47 , 234 , 244 ,94%,92%,53%,31%,3.9,7.1,93.4,101.2,12.7,14.0,11%,9%, 2.1 , 2.0 ,58%,66%,96%,61%,4%,39%,3%,0%,0%,0%,84%,44%,11%,17%,,,,
Minneapolis,United States,Land-Rich Developed Countries,44.959,-93.256,5/1/90,4/1/00,10/1/14,23%,21%, 9.5 , 8.8 ,16%,16%,15%,7%, 1.75 , 1.48 , 213 , 250 ,95%,92%,92%,88%,3.8,10.5,101.8,52.3,17.3,5.4,18%,6%, 1.8 , 1.6 ,72%,84%,94%,71%,6%,29%,15%,0%,0%,0%,80%,61%,14%,10%,,, 925 ," 1,091 "
Modesto,United States,Land-Rich Developed Countries,37.649,-120.993,7/1/92,7/1/00,8/1/14,25%,29%, 10.6 , 10.2 ,18%,22%,18%,19%, 1.91 , 1.54 , 196 , 242 ,96%,92%,90%,82%,2.5,5.1,128.0,139.1,15.6,26.5,13%,14%, 1.9 , 2.1 ,71%,66%,94%,97%,6%,3%,3%,0%,1%,1%,88%,90%,6%,7%,,, 620 , 581 
Montreal,Canada,Land-Rich Developed Countries,45.534,-73.658,8/1/90,9/1/00,8/1/13,20%,19%, 9.4 , 16.1 ,11%,12%,8%,11%, 2.30 , 2.10 , 165 , 187 ,97%,96%,82%,77%,4.1,5.0,84.3,67.0,8.7,6.6,11%,5%, 2.5 , 2.2 ,75%,79%,99%,93%,1%,7%,0%,0%,0%,0%,92%,74%,7%,19%,,, 556 , 593 
Moscow,Russia,Europe and Japan,55.743,37.645,5/1/91,5/1/01,9/1/14,20%,15%, 9.7 , 5.6 ,10%,32%,25%,3%, 1.13 , 0.33 , 385 ," 1,191 ",79%,35%,75%,28%,6.1,4.8,42.9,102.4,8.3,22.0,14%,11%, 1.6 , 2.1 ,74%,85%,78%,100%,6%,0%,3%,3%,9%,75%,54%,11%,31%,14%,," 1,099 ",, 962 
Mumbai,India,South and Central Asia,19.115,72.913,12/1/91,12/1/01,10/1/14,17%,20%, 11.6 , 8.6 ,11%,24%,18%,11%, 1.59 , 1.25 , 272 , 347 ,91%,84%,88%,79%,5.8,4.9,61.5,88.9,11.8,13.0,12%,10%, 1.6 , 1.7 ,66%,70%,36%,37%,60%,63%,1%,3%,1%,0%,25%,15%,14%,22%,,, 655 ,
Myeik,Myanmar,Southeast Asia,12.448,98.618,2/1/91,12/1/03,1/1/14,15%,13%, 5.1 , 5.3 ,32%,36%,1%,3%, 0.35 , 0.41 , 422 , 599 ,69%,63%,0%,0%,1.7,6.5,160.8,89.8,57.1,19.8,26%,11%, 1.5 , 1.7 ,78%,62%,77%,34%,23%,66%,0%,0%,69%,34%,8%,0%,0%,0%, 165 , 182 , 298 ,
Nakuru,Kenya,Sub-Saharan Africa,-0.294,36.058,3/1/89,2/1/00,2/1/14,24%,21%, 10.8 , 5.5 ,14%,31%,20%,2%, 0.96 , 0.62 , 546 , 916 ,65%,60%,64%,59%,4.4,5.8,102.5,165.5,17.9,16.8,16%,10%, 1.6 , 1.7 ,55%,76%,99%,83%,1%,17%,0%,0%,81%,80%,2%,2%,15%,1%, 302 , 626 ," 2,240 ",
Ndola,Zambia,Sub-Saharan Africa,-12.981,28.634,6/1/89,5/1/02,6/1/14,17%,13%, 8.9 , 4.9 ,16%,44%,13%,2%, 1.19 , 0.97 , 332 , 392 ,85%,79%,85%,79%,5.1,3.0,101.8,148.2,13.0,22.3,10%,11%, 1.9 , 1.7 ,84%,73%,95%,81%,5%,19%,,0%,71%,80%,22%,0%,2%,1%, 742 , 373 ," 1,810 ", 424 
New York,United States,Land-Rich Developed Countries,40.842,-73.798,5/1/91,10/1/00,5/1/11,20%,13%, 10.8 , 8.9 ,8%,14%,12%,8%, 1.75 , 0.74 , 226 , 393 ,93%,78%,62%,41%,5.1,6.7,45.2,46.8,14.4,1.8,22%,1%, 1.6 , 1.8 ,82%,83%,97%,88%,3%,12%,,0%,0%,0%,93%,87%,4%,2%,,, 712 , 400 
Nikolaev,Ukraine,Europe and Japan,46.974,32.029,5/1/89,9/1/00,8/1/13,19%,15%, 8.6 , 5.6 ,10%,26%,8%,1%, 0.90 , 0.80 , 481 , 531 ,72%,67%,71%,65%,3.7,5.3,101.1,128.5,13.1,15.8,13%,14%, 1.9 , 1.5 ,73%,85%,87%,91%,13%,9%,5%,0%,50%,62%,25%,26%,12%,3%, 501 ,, 484 ,
Okayama,Japan,Europe and Japan,34.657,133.949,5/1/90,5/1/00,5/1/14,26%,23%, 5.7 , 4.4 ,51%,61%,6%,3%, 1.63 , 1.57 , 314 , 320 ,89%,89%,53%,50%,1.6,2.3,278.3,270.4,58.6,38.2,16%,10%, 1.5 , 1.7 ,58%,54%,74%,68%,26%,32%,0%,0%,3%,11%,72%,57%,0%,0%,,, 189 , 283 
Oldenburg,Germany,Europe and Japan,53.148,8.207,8/1/90,8/1/99,10/1/13,18%,18%, 7.6 , 6.6 ,17%,24%,4%,3%, 1.45 , 1.36 , 239 , 252 ,92%,92%,87%,80%,3.4,4.9,99.0,109.5,8.7,9.9,7%,8%, 1.8 , 1.7 ,72%,83%,100%,94%,0%,6%,0%,0%,4%,0%,86%,87%,10%,6%,,,, 536 
Osaka,Japan,Europe and Japan,34.718,135.389,5/1/89,10/1/01,3/1/14,21%,26%, 5.7 , 5.5 ,47%,40%,6%,3%, 1.76 , 1.07 , 220 , 550 ,95%,69%,75%,46%,1.7,2.4,200.5,195.7,55.1,38.0,22%,18%, 1.4 , 1.6 ,52%,61%,70%,59%,30%,41%,15%,0%,0%,5%,68%,52%,2%,2%,,, 143 , 227 
Oyo,Nigeria,Sub-Saharan Africa,6.818,3.916,12/1/90,2/1/00,2/1/14,12%,15%, 7.6 , 6.7 ,13%,23%,3%,3%, 1.11 , 0.81 , 269 , 428 ,94%,78%,49%,52%,5.6,5.4,53.8,77.4,5.2,5.7,10%,9%, 1.7 , 1.6 ,90%,84%,28%,69%,72%,31%,0%,0%,27%,66%,1%,0%,0%,3%, 558 , 393 ,,
